date_collected,product_itemid,product_shopid,product_category,product_name,product_price,product_price_min,product_price_max,product_discount,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,shop_location
2021-06-13,1730221486,21407329,Short Sleeves,Patriciacai Knitted Korean Top 2218#,199.0,168,168,16,477,7,2,0,0,486,4.98,846,1195,1,"Binondo, Metro Manila"
2021-06-13,4056386412,312874722,Short Sleeves,South Korean T-shirt MLckey Mouse patterned loose short-sleeved blouse new women's summer long top#1,169.0,69,79,59,1339,94,85,17,33,1568,4.71,29236,7613,1,"San Nicolas, Metro Manila"
2021-06-13,4753709026,312874722,Short Sleeves,boutique korean Big yards short sleeves,360.0,79,79,78,32,2,1,1,0,36,4.81,20961,110,1,"San Nicolas, Metro Manila"
2021-06-13,4458965072,64360491,Short Sleeves,korean fashion knitted blouse knitted top shortsleeve,150.0,99,99,34,50,1,0,0,0,51,4.98,152,147,1,"Pasay City, Metro Manila"
2021-06-13,3742534203,192699788,Short Sleeves,COD Ready stock Women Korean Top Fashion Square Collar Sexy Sweet Pleated Small Floral Print Short Chiffon Shirt,520.0,112,255,78,48,0,0,0,0,48,5.0,5930,126,1,Mainland China
2021-06-13,9060921192,449754824,Short Sleeves,【BTG】Summer Korean Version 2021 New Cartoon Print Design Sense Bubble Sleeve Loose Short-sleeved T-shirt Top Women's Clothing,584.0,292,292,50,0,0,0,0,0,0,0.0,2499,0,1,Mainland China
2021-06-13,4940886722,55748694,Short Sleeves,SS Lettuce Blouse Top Basic Crop Top Korean Fashion Women Tops,100.0,45,55,55,14607,1073,607,241,288,16816,4.75,16131,53978,1,"Taytay, Rizal"
2021-06-13,4243944998,1083822,Short Sleeves,NKD Korean Fashion Erich Basic Printed Floral Daily Polo Tie Top 1104,300.0,135,138,55,732,19,12,1,3,767,4.92,79163,2134,1,"Taytay, Rizal"
2021-06-13,9412391511,38991063,Short Sleeves,AS ELEGANT korean trendy clothes crop top /plain color v-neck knitted 1912 (0816),250.0,200,200,20,10,0,0,0,0,10,5.0,57,22,1,"Tondo I / Ii, Metro Manila"
2021-06-13,3052625282,449754824,Short Sleeves,【BTG】2021 New Korean Version of Loose Letters Printed Short-sleeved T-shirt Girl Short Top,337.0,169,169,50,0,1,0,0,0,1,4.0,10007,3,1,Mainland China
2021-06-13,2768006775,25811092,Short Sleeves,Angelcity Oversized Ringer Top Plus Size Korean Fashion Women Tops Basic tee ML,189.0,63,79,67,11156,685,467,152,244,12704,4.76,84138,49684,1,"Pasay City, Metro Manila"
2021-06-13,5572089037,345537112,Short Sleeves,[Today only] Design Sense Bandage Puff Sleeve Square Collar Pleated Crop Top Women New Korean Short Shirt,389.0,234,234,40,34,0,1,0,0,35,4.94,2933,72,1,Mainland China
2021-06-13,6818762101,40117429,Short Sleeves,【Ready stock】Korean Top Square Collar Solid Puff Sleeve Knitted Short T-Shirt Crop top,504.0,265,265,47,29,2,2,0,0,33,4.82,1982,61,1,Mainland China
2021-06-13,9960386794,325618926,Short Sleeves,Retro Pleated Slim-Fit Puff Sleeve Flounces Shirt Square Collar off-Shoulder Floral Tops,600.0,272,272,55,2,0,0,0,1,3,3.67,15002,3,1,Mainland China
2021-06-13,3981976931,345811478,Short Sleeves,ins Korean fashion polo collar knit sexy slim fit short sleeved crop top women ootd,381.0,238,238,38,15,3,0,0,0,18,4.83,4952,39,1,Mainland China
2021-06-13,5560472579,328633553,Short Sleeves,LALUNA Korean Fashion Erich Basic Printed Floral Daily Polo Tie Top 1104,147.0,137,137,7,5,0,0,0,0,5,5.0,5992,43,1,"Taytay, Rizal"
2021-06-13,2843123374,5302656,Short Sleeves,Korean Aesthetic Pastel Graphic Tees/Tops Ulzzaang Official,150.0,99,99,34,459,18,9,0,2,488,4.91,3,1063,1,"Bacoor, Cavite"
2021-06-13,3264364106,49777359,Short Sleeves,2020 Summer New Korean Unisex Fashion Wild Hip-hop Gradient Short Sleeve T-shirt,356.0,168,168,53,186,10,13,0,2,211,4.79,1133,683,1,"Tondo I / Ii, Metro Manila"
2021-06-13,8528691619,11187885,Short Sleeves,women button down knitted knit lettuce top strawberry floral short sleeves women bangkok korean B032,299.0,79,79,74,187,6,1,1,1,196,4.92,29,473,1,"Caloocan City, Metro Manila"
2021-06-13,4840459112,55748694,Short Sleeves,SS Korean Basic Blouse Top Women Short Sleeve Tops Fits Small to Semi-Large,100.0,49,52,51,10623,864,486,141,237,12351,4.74,10804,38988,1,"Taytay, Rizal"
